;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;11;Cádiz;11036;Torre Alháquime;234;12;50;56;10;39;67;116;2;10;99;7
201601;Enero de 2016;1;Andalucía;11;Cádiz;11037;Trebujena;1605;102;356;315;74;418;340;342;32;108;1009;114
201601;Enero de 2016;1;Andalucía;11;Cádiz;11038;Ubrique;3270;120;529;736;93;770;1022;71;1365;170;1387;277
201601;Enero de 2016;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;3119;176;658;636;147;787;715;294;73;280;2110;362
201601;Enero de 2016;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;57;4;9;16;5;12;11;8;6;3;39;1
201601;Enero de 2016;1;Andalucía;11;Cádiz;11041;Villamartín;3382;223;613;691;183;861;811;684;106;297;2103;192
201601;Enero de 2016;1;Andalucía;11;Cádiz;11042;Zahara;342;22;70;74;19;67;90;114;9;66;137;16
201601;Enero de 2016;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;1710;105;301;349;83;461;411;377;35;181;987;130
201601;Enero de 2016;1;Andalucía;11;Cádiz;11902;San José del Valle;1094;71;198;244;50;261;270;303;36;115;558;82
201601;Enero de 2016;1;Andalucía;14;Córdoba;14001;Adamuz;886;35;158;175;54;202;262;535;16;83;223;29
201601;Enero de 2016;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;2530;140;347;438;157;577;871;1225;82;324;763;136
201601;Enero de 2016;1;Andalucía;14;Córdoba;14003;Alcaracejos;228;21;25;59;14;43;66;8;10;36;163;11
201601;Enero de 2016;1;Andalucía;14;Córdoba;14004;Almedinilla;304;14;28;69;13;74;106;88;24;12;159;21
201601;Enero de 2016;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;1851;108;322;386;105;433;497;530;55;272;898;96
201601;Enero de 2016;1;Andalucía;14;Córdoba;14006;Añora;249;8;40;53;16;60;72;30;9;58;138;14
201601;Enero de 2016;1;Andalucía;14;Córdoba;14007;Baena;2822;129;358;522;188;726;899;1080;107;396;1020;219
201601;Enero de 2016;1;Andalucía;14;Córdoba;14008;Belalcázar;669;39;87;138;59;158;188;102;52;134;314;67
201601;Enero de 2016;1;Andalucía;14;Córdoba;14009;Belmez;673;40;137;187;38;143;128;50;96;113;319;95
201601;Enero de 2016;1;Andalucía;14;Córdoba;14010;Benamejí;868;49;82;134;60;208;335;362;38;208;213;47
