;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201104;Abril de 2011;7;Castilla y León;34;Palencia;6681;5000;1479;202;0
201104;Abril de 2011;7;Castilla y León;37;Salamanca;14343;10115;3631;597;0
201104;Abril de 2011;7;Castilla y León;40;Segovia;6008;4774;1153;81;0
201104;Abril de 2011;7;Castilla y León;42;Soria;3367;2615;686;66;0
201104;Abril de 2011;7;Castilla y León;47;Valladolid;23270;18228;4342;700;0
201104;Abril de 2011;7;Castilla y León;49;Zamora;7447;5397;1798;252;0
201104;Abril de 2011;8;Castilla - La Mancha;2;Albacete;21041;13902;6214;925;0
201104;Abril de 2011;8;Castilla - La Mancha;13;Ciudad Real;25570;16860;7828;882;0
201104;Abril de 2011;8;Castilla - La Mancha;16;Cuenca;8908;5975;2675;258;0
201104;Abril de 2011;8;Castilla - La Mancha;19;Guadalajara;13498;10339;2989;170;0
201104;Abril de 2011;8;Castilla - La Mancha;45;Toledo;38844;27452;10446;946;0
201104;Abril de 2011;9;Cataluña;8;Barcelona;325757;255851;65825;4081;0
201104;Abril de 2011;9;Cataluña;17;Girona;39042;28916;9686;440;0
201104;Abril de 2011;9;Cataluña;25;Lleida;19733;15052;4390;291;0
201104;Abril de 2011;9;Cataluña;43;Tarragona;45070;33187;11021;862;0
201104;Abril de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;94933;60389;29074;5470;0
201104;Abril de 2011;10;Comunitat Valenciana;12;Castellón/Castelló;38021;27692;9776;553;0
201104;Abril de 2011;10;Comunitat Valenciana;46;Valencia/Valéncia;145626;107677;33864;4085;0
201104;Abril de 2011;11;Extremadura;6;Badajoz;40558;19675;13516;2445;4922
201104;Abril de 2011;11;Extremadura;10;Cáceres;23142;12019;6989;789;3345
201104;Abril de 2011;12;Galicia;15;Coruña, A;53207;39328;12328;1551;0
201104;Abril de 2011;12;Galicia;27;Lugo;12436;9023;3059;354;0
201104;Abril de 2011;12;Galicia;32;Ourense;13613;8943;4125;545;0
201104;Abril de 2011;12;Galicia;36;Pontevedra;52343;37932;12821;1590;0
201104;Abril de 2011;13;Madrid, Comunidad de;28;Madrid;304503;248087;52304;4112;0
201104;Abril de 2011;14;Murcia, Región de;30;Murcia;72457;51089;18554;2814;0
201104;Abril de 2011;15;Navarra, Comunidad Foral de;31;Navarra;30779;24609;5795;375;0
201104;Abril de 2011;16;País Vasco;1;Araba/Álava;14259;11753;2417;89;0
201104;Abril de 2011;16;País Vasco;20;Gipuzkoa;30576;25261;5007;308;0
201104;Abril de 2011;16;País Vasco;48;Bizkaia;48710;40061;8169;480;0
201104;Abril de 2011;17;Rioja, La;26;Rioja, La;15110;11961;2888;261;0
201104;Abril de 2011;18;Ceuta;51;Ceuta;3193;1492;1532;169;0
201104;Abril de 2011;19;Melilla;52;Melilla;2711;1370;1074;267;0
201105;Mayo de 2011;1;Andalucía;4;Almería;38077;22407;12047;1889;1734
201105;Mayo de 2011;1;Andalucía;11;Cádiz;70488;37449;22515;6283;4241
201105;Mayo de 2011;1;Andalucía;14;Córdoba;48603;22885;14045;2011;9662
201105;Mayo de 2011;1;Andalucía;18;Granada;51712;26837;15856;2277;6742
201105;Mayo de 2011;1;Andalucía;21;Huelva;29847;16462;8631;1327;3427
201105;Mayo de 2011;1;Andalucía;23;Jaén;40524;19830;11359;1559;7776
201105;Mayo de 2011;1;Andalucía;29;Málaga;88445;51833;26933;4803;4876
201105;Mayo de 2011;1;Andalucía;41;Sevilla;113734;60437;33356;5470;14471
201105;Mayo de 2011;2;Aragón;22;Huesca;9409;7601;1684;124;0
201105;Mayo de 2011;2;Aragón;44;Teruel;5880;4431;1366;83;0
201105;Mayo de 2011;2;Aragón;50;Zaragoza;45927;36025;8920;982;0
201105;Mayo de 2011;3;Asturias, Principado de;33;Asturias;49285;35693;12311;1281;0
201105;Mayo de 2011;4;Balears, Illes;7;Balears, Illes;48347;35249;12078;1020;0
201105;Mayo de 2011;5;Canarias;35;Palmas, Las;64981;39945;20357;4679;0
201105;Mayo de 2011;5;Canarias;38;Santa Cruz de Tenerife;57341;35639;18585;3117;0
201105;Mayo de 2011;6;Cantabria;39;Cantabria;25655;19566;5399;690;0
201105;Mayo de 2011;7;Castilla y León;5;Ávila;7097;4807;2022;268;0
201105;Mayo de 2011;7;Castilla y León;9;Burgos;17188;13560;3281;347;0
