Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación;Provincia;Municipio
R1-299;11;11004;278077,77;4004691,22;531360277;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MENACHA;Cádiz;Algeciras
R1-299;11;11004;278077,77;4004691,22;531360277;15;0;0;0,62;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MENACHA;Cádiz;Algeciras
R1-299;11;11033;281690,14;4012771,78;532808647;66;0;0;40;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MERCANCI;Cádiz;San Roque
R1-299;11;11033;281690,14;4012771,78;532808647;15;0;0;0,1;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;MERCANCI;Cádiz;San Roque
R1-299;11;11020;219690,84;4066994,99;59018127;66;0;0;45;0;;;MIRABAL 220;0;0;;01 - Andalucía;MONTEALT;Cádiz;Jerez de la Frontera
R1-299;11;11020;219690,84;4066994,99;59018127;15;0;0;12,2;4,95;;;MIRABAL 220;0;0;;01 - Andalucía;MONTEALT;Cádiz;Jerez de la Frontera
R1-299;11;11020;228582,58;4066950,31;532737469;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;MONTECAS;Cádiz;Jerez de la Frontera
R1-299;11;11020;228582,58;4066950,31;532737469;15;0;0;9,23;6,98;;;MIRABAL 220;0;0;;01 - Andalucía;MONTECAS;Cádiz;Jerez de la Frontera
R1-299;11;11024;300665,52;4089769,21;59017751;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;OLVERA;Cádiz;Olvera
R1-299;11;11024;300665,52;4089769,21;59017751;33;0;0;4;0;;;CARTUJA 220;0;0;;01 - Andalucía;OLVERA;Cádiz;Olvera
R1-299;11;11033;283067,21;4009356,18;532731770;66;0;0;0;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;OXIGENO;Cádiz;San Roque
