Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004680;24/03/2021;20:45;AVDA. ALBUFERA / AUTOV. M-30;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;14
2021S004680;24/03/2021;20:45;AVDA. ALBUFERA / AUTOV. M-30;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;07
2021S005598;24/03/2021;20:11;CALL. DEVA;5;USERA;Colisión frontal;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2021S005598;24/03/2021;20:11;CALL. DEVA;5;USERA;Colisión frontal;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2021S004675;24/03/2021;20:08;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14
2021S004675;24/03/2021;20:08;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;DE 45 A 49 AÑOS;Hombre;07
2021S004676;24/03/2021;19:45;PASEO. VIRGEN DEL PUERTO;5;ARGANZUELA;Alcance;Despejado;Furgoneta;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S004676;24/03/2021;19:45;PASEO. VIRGEN DEL PUERTO;5;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2021S004724;24/03/2021;19:30;AVDA. AMERICA; 45B;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;06
2021S004724;24/03/2021;19:30;AVDA. AMERICA; 45B;CHAMARTÍN;Alcance;Despejado;Autobús;Conductor;DE 60 A 64 AÑOS;Hombre;14
2021S004672;24/03/2021;19:05;AUTOV. M-30, +01100I;-;ARGANZUELA;Colisión múltiple;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S004672;24/03/2021;19:05;AUTOV. M-30, +01100I;-;ARGANZUELA;Colisión múltiple;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;
2021S004672;24/03/2021;19:05;AUTOV. M-30, +01100I;-;ARGANZUELA;Colisión múltiple;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;
2021S004672;24/03/2021;19:05;AUTOV. M-30, +01100I;-;ARGANZUELA;Colisión múltiple;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;
2021S004678;24/03/2021;18:40;AUTOV. M-30, PK 30 EXTERIOR;-;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Autobús;Conductor;DE 55 A 59 AÑOS;Hombre;14
2021S004678;24/03/2021;18:40;AUTOV. M-30, PK 30 EXTERIOR;-;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Autobús;Pasajero;DE 45 A 49 AÑOS;Mujer;
2021S004678;24/03/2021;18:40;AUTOV. M-30, PK 30 EXTERIOR;-;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Autobús;Pasajero;DE 60 A 64 AÑOS;Mujer;14
2021S004678;24/03/2021;18:40;AUTOV. M-30, PK 30 EXTERIOR;-;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Autobús;Pasajero;DE 30 A 34 AÑOS;Hombre;14
2021S004678;24/03/2021;18:40;AUTOV. M-30, PK 30 EXTERIOR;-;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14
2021S004671;24/03/2021;18:37;AVDA. MAYORAZGO / AUTOV. M-45;-;VILLA DE VALLECAS;Colisión fronto-lateral;;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S004671;24/03/2021;18:37;AVDA. MAYORAZGO / AUTOV. M-45;-;VILLA DE VALLECAS;Colisión fronto-lateral;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2021S004666;24/03/2021;18:20;AUTOV. M-30, +03200E CALZADA 2;-;FUENCARRAL-EL PARDO;Alcance;;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S004666;24/03/2021;18:20;AUTOV. M-30, +03200E CALZADA 2;-;FUENCARRAL-EL PARDO;Alcance;;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2021S004674;24/03/2021;18:10;CALL. ALAR DEL REY / CALL. AGUETOL;-;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;
2021S004674;24/03/2021;18:10;CALL. ALAR DEL REY / CALL. AGUETOL;-;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;
2021S004665;24/03/2021;17:50;CALL. ALCALA; 690A;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14
2021S004665;24/03/2021;17:50;CALL. ALCALA; 690A;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;14
2021S004665;24/03/2021;17:50;CALL. ALCALA; 690A;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;DE 45 A 49 AÑOS;Hombre;03
2021S004661;24/03/2021;17:35;CALL. RETAMA;3;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2021S004661;24/03/2021;17:35;CALL. RETAMA;3;ARGANZUELA;Alcance;Despejado;Turismo;Pasajero;DE 55 A 59 AÑOS;Mujer;
2021S004661;24/03/2021;17:35;CALL. RETAMA;3;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14
2021S004662;24/03/2021;17:18;CALL. PIMIENTA / CALL. ALCOCER;-;VILLAVERDE;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S004662;24/03/2021;17:18;CALL. PIMIENTA / CALL. ALCOCER;-;VILLAVERDE;Colisión lateral;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Hombre;14
2021S004662;24/03/2021;17:18;CALL. PIMIENTA / CALL. ALCOCER;-;VILLAVERDE;Colisión lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2021S004662;24/03/2021;17:18;CALL. PIMIENTA / CALL. ALCOCER;-;VILLAVERDE;Colisión lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;
2021S004664;24/03/2021;17:00;CALL. ROMA;4;SALAMANCA;Colisión lateral;Despejado;Camión rígido;Conductor;DESCONOCIDA;;
2021S004664;24/03/2021;17:00;CALL. ROMA;4;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2021S004657;24/03/2021;16:45;CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;DE 40 A 44 AÑOS;Hombre;
2021S004657;24/03/2021;16:45;CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Pasajero;DE 40 A 44 AÑOS;Hombre;
2021S004657;24/03/2021;16:45;CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS;-;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;
2021S004663;24/03/2021;16:14;CALL. BENITO GUTIERREZ / CALL. MARTIN DE LOS HEROS;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
