Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M10;367.407
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M09;347.240
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M08;455.557
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M07;358.035
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M06;322.966
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M05;286.314
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M04;192.538
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M03;218.032
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M02;139.766
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2021M01;218.769
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M12;203.217
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M11;122.600
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M10;268.769
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M09;285.655
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M08;351.947
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M07;280.330
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M06;177.180
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M05;58.093
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M04;45.990
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M03;265.457
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M02;457.965
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2020M01;444.746
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M12;474.017
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M11;381.005
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M10;367.946
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M09;410.384
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M08;462.398
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2019M07;356.923
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2024M03;220.765
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2024M02;180.405
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2024M01;188.449
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M12;169.068
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M11;153.387
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M10;236.543
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M09;299.373
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M08;566.840
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M07;576.413
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M06;316.205
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M05;335.210
Total Nacional;;Total Nacional;Andalucía;Huelva;Turistas;2023M04;289.659
