Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Hombre;14;;
2020S000017;01/01/2020;3:55;AUTOV. A-4, +00500E;-;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14;;
2020S000005;01/01/2020;3:30;CALL. TUDESCOS;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;;;
2020S000005;01/01/2020;3:30;CALL. TUDESCOS;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;;;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;;;
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14;;
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Mujer;14;;
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Mujer;14;;
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;14;;
2020S000037;01/01/2020;1:55;AVDA. OROVILLA / CALL. CIRCULO;-;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14;;
2020S000037;01/01/2020;1:55;AVDA. OROVILLA / CALL. CIRCULO;-;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;;
2020S000002;01/01/2020;1:20;CALL. SILVANO;31;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;;;
2020S000002;01/01/2020;1:20;CALL. SILVANO;31;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Hombre;;;
