Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación ;Nivel de tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre subestación
R1-005;Lugo;Castro de Rei;140.726,1;4.784.560,7;37;132;100;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400. Capacidad limitada según art. 3.2 Especificaciones de Detalle Capacidad Firme;LUDRIO
R1-005;Lugo;Mondoñedo;146.550,7;4.818.040,1;73;132;68;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400;MONDONEDO
R1-005;Lugo;Vilalba;121.786,5;4.806.250,8;1081;132;60;0;0;0;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400;SETE_PONTES
R1-005;Lugo;Lugo;131.875,3;4.772.615,1;77;132;16,5;0;0;100;0;0;0;Capacidad disponible sujeta a la actualización del valor de referencia en el nudo de Boimente 400. Capacidad limitada según art. 3.2 Especificaciones de Detalle Capacidad Firme;SAN_CIBRAO
R1-005;Lugo;Ribadeo;170.870,2;4.828.331,6;16;132;19;0;0;0;0;0;0;;RIBADEO
R1-005;Palencia;Barruelo de Santullán;395.187,1;4.750.925,8;260;12;0;0;1,6;0;0;0;0;;BARRUELO
R1-005;Palencia;Barruelo de Santullán;395.187,1;4.750.925,8;260;30;2;0;0;0;0;0;1;;BARRUELO
R1-005;Palencia;Aguilar de Campoo;394.775,4;4.738.831,8;878;30;2;0;2,16;0;0;0;0;;C_AGUILAR
R1-005;Palencia;Aguilar de Campoo;394.775,4;4.738.831,8;878;132;0;0;0;0;0;0;0;;C_AGUILAR
R1-005;Palencia;Carrión de los Condes;367.656,4;4.689.393,6;182;12;0,12;0;5,75;0;0;0;0;;CARRION_N
R1-005;Palencia;Carrión de los Condes;367.656,4;4.689.393,6;182;30;0;0;0;0;0;0;1;;CARRION_N
R1-005;Palencia;Dehesa de Montejo;378.318,6;4.745.779,4;5;12;0;0;2,3;0;0;0;0;;CERVERA
R1-005;Palencia;Dehesa de Montejo;378.318,6;4.745.779,4;5;30;0;0;0;0;0;0;1;;CERVERA
R1-005;Palencia;Herrera de Pisuerga;390.161,9;4.717.197,5;255;12;1,45;0;3,35;0;0;0;0;;HERRERA
R1-005;Palencia;Herrera de Pisuerga;390.161,9;4.717.197,5;255;30;2;0;0;0;0;0;0;;HERRERA
R1-005;Palencia;Aguilar de Campoo;395.161,6;4.737.833,6;76;30;2;0;29,57;0;0;0;0;;MAZUELAS
R1-005;Palencia;Aguilar de Campoo;395.161,6;4.737.833,6;76;132;0;0;0;0;0;0;0;;MAZUELAS
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;12;0,12;0;3,97;0;0;0;0;;OSORNO
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;30;0;0;18,55;0;0;0;1;;OSORNO
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;132;0;0;0;0;0;0;0;;OSORNO
R1-005;Palencia;Collazos de Boedo;389.753,6;4.720.050,1;222;30;0;0;5,62;0;0;0;1;;VILLABERMUDO
R1-005;Palencia;Collazos de Boedo;389.753,6;4.720.050,1;222;132;0;0;0;0;0;0;0;;VILLABERMUDO
R1-005;Tarragona;La Canonja;851.966,5;4.559.276,6;10;25;46,2;0;143,8;0;0;0;0; Inviabilidad de ampliación con nuevas posiciones;LA CANONJA
