ID;TERMS (PT-NPT);RELATIONS;PT;MT
1044;Asociación Internacional de la Seguridad Social;;;7626 organizaciones no gubernamentales
1094;Asociación Latinoamericana de Integración;USE;ALADI;7616 organizaciones extraeuropeas
1094;Asociación Latinoamericana de Libre Comercio;USE;ALADI;7616 organizaciones extraeuropeas
c_6547ccb7;Asociación Oriental;;;1016 construcción europea
5446;Asociación de Cooperación Regional de Asia del Sur;USE;Asociación de Cooperación Regional del Sur de Asia;7616 organizaciones extraeuropeas
5446;Asociación de Cooperación Regional del Sur de Asia;;;7616 organizaciones extraeuropeas
7415;Asociación de Estados del Caribe;;;7616 organizaciones extraeuropeas
5264;Asociación de Libre Comercio del Caribe;USE;Caricom;7616 organizaciones extraeuropeas
1838;Asociación de Naciones de Asia del Sudeste;USE;ASEAN;7616 organizaciones extraeuropeas
1838;Asociación de Naciones del Asia Sudoriental;USE;ASEAN;7616 organizaciones extraeuropeas
1838;Asociación de Naciones del Sudeste Asiático;USE;ASEAN;7616 organizaciones extraeuropeas
3853;Asociación de Transporte Aéreo Internacional;USE;IATA;7626 organizaciones no gubernamentales
7415;Asociación de los Estados del Caribe;USE;Asociación de Estados del Caribe;7616 organizaciones extraeuropeas
1838;Asociación del Sudeste de Asia;USE;ASEAN;7616 organizaciones extraeuropeas
5773;Asociación por la Paz;;;0816 seguridad internacional
3822;Asturias;USE;Principado de Asturias;7211 regiones de los Estados miembros de la UE
2110;Atlántico;USE;Océano Atlántico;5211 medio natural
4160;Australia;;;7226 Asia-Oceanía
4160;Australia;;;7231 geografía económica
4160;Australia;;;7236 geografía política
4353;Austria;;;7206 Europa
4353;Austria;;;7231 geografía económica
4353;Austria;;;7236 geografía política
c_047e5912;Autoridad Bancaria Europea;;;1006 instituciones de la Unión Europea y función pública europea
7126;Autoridad Europea de Seguridad Alimentaria;;;1006 instituciones de la Unión Europea y función pública europea
c_f5ed5adb;Autoridad Europea de Seguros y Pensiones de Jubilación;;;1006 instituciones de la Unión Europea y función pública europea
c_96124aaf;Autoridad Europea de Valores y Mercados;;;1006 instituciones de la Unión Europea y función pública europea
