;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201301;Enero de 2013;1;Andalucía;11;Cádiz;11026;Prado del Rey;157;0;77;1;0;78;1;55;28;9;65
201301;Enero de 2013;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;1952;47;1206;35;38;588;38;75;127;281;1469
201301;Enero de 2013;1;Andalucía;11;Cádiz;11028;Puerto Real;924;4;671;8;8;230;3;41;217;184;482
201301;Enero de 2013;1;Andalucía;11;Cádiz;11029;Puerto Serrano;315;0;193;0;1;121;0;35;1;17;262
201301;Enero de 2013;1;Andalucía;11;Cádiz;11030;Rota;598;4;333;11;3;237;10;70;73;89;366
201301;Enero de 2013;1;Andalucía;11;Cádiz;11031;San Fernando;1017;14;486;6;17;476;18;0;69;172;776
201301;Enero de 2013;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;1654;17;789;12;16;805;15;725;41;96;792
201301;Enero de 2013;1;Andalucía;11;Cádiz;11033;San Roque;826;94;515;23;21;163;10;8;354;161;303
201301;Enero de 2013;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;242;0;109;0;0;133;0;180;1;12;49
201301;Enero de 2013;1;Andalucía;11;Cádiz;11035;Tarifa;246;8;139;4;11;83;1;19;14;47;166
201301;Enero de 2013;1;Andalucía;11;Cádiz;11036;Torre Alháquime;56;0;30;0;0;26;0;16;0;1;39
201301;Enero de 2013;1;Andalucía;11;Cádiz;11037;Trebujena;289;0;135;1;1;151;1;112;3;26;148
201301;Enero de 2013;1;Andalucía;11;Cádiz;11038;Ubrique;525;6;291;6;4;212;6;11;377;21;116
201301;Enero de 2013;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;340;2;215;4;0;119;0;96;5;29;210
201301;Enero de 2013;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;38;0;19;0;0;19;0;0;6;10;22
201301;Enero de 2013;1;Andalucía;11;Cádiz;11041;Villamartín;543;0;266;0;1;275;1;172;10;42;319
201301;Enero de 2013;1;Andalucía;11;Cádiz;11042;Zahara;109;0;61;0;0;48;0;55;0;14;40
201301;Enero de 2013;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;112;1;39;0;2;69;1;6;4;7;95
201301;Enero de 2013;1;Andalucía;11;Cádiz;11902;San José del Valle;177;1;106;0;1;69;0;54;47;28;48
201301;Enero de 2013;1;Andalucía;14;Córdoba;14001;Adamuz;771;0;418;0;0;353;0;713;2;24;32
201301;Enero de 2013;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;1320;4;766;3;5;542;0;1166;13;70;71
201301;Enero de 2013;1;Andalucía;14;Córdoba;14003;Alcaracejos;45;0;21;1;0;23;0;10;0;1;34
201301;Enero de 2013;1;Andalucía;14;Córdoba;14004;Almedinilla;284;0;136;0;1;147;0;216;28;6;34
201301;Enero de 2013;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;345;1;226;0;0;117;1;165;1;37;142
201301;Enero de 2013;1;Andalucía;14;Córdoba;14006;Añora;31;1;21;0;1;8;0;3;2;14;12
201301;Enero de 2013;1;Andalucía;14;Córdoba;14007;Baena;1483;3;951;1;5;523;0;1232;12;80;159
201301;Enero de 2013;1;Andalucía;14;Córdoba;14008;Belalcázar;153;0;88;1;0;62;2;23;4;39;87
201301;Enero de 2013;1;Andalucía;14;Córdoba;14009;Belmez;66;4;45;0;4;12;1;15;3;23;25
201301;Enero de 2013;1;Andalucía;14;Córdoba;14010;Benamejí;654;0;414;1;2;235;2;594;12;25;23
201301;Enero de 2013;1;Andalucía;14;Córdoba;14011;Blázquez, Los;37;0;19;0;0;18;0;5;1;12;19
201301;Enero de 2013;1;Andalucía;14;Córdoba;14012;Bujalance;953;0;555;0;0;397;1;803;3;63;84
201301;Enero de 2013;1;Andalucía;14;Córdoba;14013;Cabra;1943;6;1095;3;4;833;2;1702;24;60;157
201301;Enero de 2013;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;1021;4;688;0;0;329;0;979;3;16;23
201301;Enero de 2013;1;Andalucía;14;Córdoba;14015;Carcabuey;186;0;108;9;0;67;2;146;2;6;32
201301;Enero de 2013;1;Andalucía;14;Córdoba;14016;Cardeña;48;0;30;0;0;18;0;21;1;17;9
201301;Enero de 2013;1;Andalucía;14;Córdoba;14017;Carlota, La;623;3;318;3;1;296;2;358;12;118;135
201301;Enero de 2013;1;Andalucía;14;Córdoba;14018;Carpio, El;140;0;88;0;0;52;0;68;11;18;43
201301;Enero de 2013;1;Andalucía;14;Córdoba;14019;Castro del Río;915;0;565;0;0;350;0;737;9;108;61
201301;Enero de 2013;1;Andalucía;14;Córdoba;14020;Conquista;16;0;7;0;0;9;0;2;0;9;5
201301;Enero de 2013;1;Andalucía;14;Córdoba;14021;Córdoba;9278;128;5151;92;152;3686;69;2705;458;678;5437
201301;Enero de 2013;1;Andalucía;14;Córdoba;14022;Doña Mencía;690;4;377;1;1;306;1;600;8;11;71
201301;Enero de 2013;1;Andalucía;14;Córdoba;14023;Dos Torres;156;0;91;1;0;64;0;4;9;13;130
201301;Enero de 2013;1;Andalucía;14;Córdoba;14024;Encinas Reales;339;1;217;1;0;120;0;300;7;16;16
201301;Enero de 2013;1;Andalucía;14;Córdoba;14025;Espejo;405;0;222;0;0;183;0;361;3;13;28
201301;Enero de 2013;1;Andalucía;14;Córdoba;14026;Espiel;52;0;43;0;0;9;0;10;25;6;11
201301;Enero de 2013;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;367;0;215;1;1;150;0;255;9;36;67
201301;Enero de 2013;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;29;0;13;0;0;16;0;0;0;15;14
201301;Enero de 2013;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;102;0;66;0;1;35;0;42;1;10;49
201301;Enero de 2013;1;Andalucía;14;Córdoba;14030;Fuente Palmera;1038;11;723;3;1;300;0;813;34;125;66
201301;Enero de 2013;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;110;0;63;0;0;47;0;93;11;0;6
201301;Enero de 2013;1;Andalucía;14;Córdoba;14032;Granjuela, La;17;0;14;0;0;3;0;5;0;0;12
201301;Enero de 2013;1;Andalucía;14;Córdoba;14033;Guadalcázar;147;0;75;0;0;72;0;122;0;14;11
201301;Enero de 2013;1;Andalucía;14;Córdoba;14034;Guijo, El;25;0;12;0;0;13;0;0;0;0;25
201301;Enero de 2013;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;115;2;62;4;1;40;6;10;2;42;61
201301;Enero de 2013;1;Andalucía;14;Córdoba;14036;Hornachuelos;922;0;626;1;0;276;19;591;2;126;203
201301;Enero de 2013;1;Andalucía;14;Córdoba;14037;Iznájar;785;0;505;0;0;280;0;692;3;7;83
201301;Enero de 2013;1;Andalucía;14;Córdoba;14038;Lucena;2617;19;1487;44;7;1044;16;1988;168;135;326
201301;Enero de 2013;1;Andalucía;14;Córdoba;14039;Luque;340;2;188;2;0;148;0;295;0;13;32
201301;Enero de 2013;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;606;0;388;0;1;217;0;528;9;42;27
201301;Enero de 2013;1;Andalucía;14;Córdoba;14041;Montemayor;304;1;145;1;0;156;1;226;7;28;43
201301;Enero de 2013;1;Andalucía;14;Córdoba;14042;Montilla;1206;2;648;1;1;553;1;703;55;144;304
201301;Enero de 2013;1;Andalucía;14;Córdoba;14043;Montoro;848;0;495;2;0;336;15;559;16;82;191
201301;Enero de 2013;1;Andalucía;14;Córdoba;14044;Monturque;137;0;68;3;0;66;0;105;8;7;17
201301;Enero de 2013;1;Andalucía;14;Córdoba;14045;Moriles;197;1;126;1;0;69;0;144;13;14;26
201301;Enero de 2013;1;Andalucía;14;Córdoba;14046;Nueva Carteya;846;1;468;0;0;377;0;786;0;34;26
201301;Enero de 2013;1;Andalucía;14;Córdoba;14047;Obejo;21;0;11;0;0;10;0;15;0;2;4
201301;Enero de 2013;1;Andalucía;14;Córdoba;14048;Palenciana;151;1;102;0;1;47;0;134;3;1;13
201301;Enero de 2013;1;Andalucía;14;Córdoba;14049;Palma del Río;3040;4;2086;16;3;922;9;2230;48;167;595
201301;Enero de 2013;1;Andalucía;14;Córdoba;14050;Pedro Abad;106;1;57;0;0;48;0;51;1;14;40
201301;Enero de 2013;1;Andalucía;14;Córdoba;14051;Pedroche;55;0;26;0;0;29;0;8;1;18;28
201301;Enero de 2013;1;Andalucía;14;Córdoba;14052;Peñarroya-Pueblonuevo;148;2;74;0;3;69;0;4;4;24;116
201301;Enero de 2013;1;Andalucía;14;Córdoba;14053;Posadas;406;2;235;0;0;169;0;263;10;43;90
201301;Enero de 2013;1;Andalucía;14;Córdoba;14054;Pozoblanco;732;21;400;7;15;286;3;82;152;74;424
201301;Enero de 2013;1;Andalucía;14;Córdoba;14055;Priego de Córdoba;1314;1;688;2;7;613;3;935;88;76;215
