substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
3198,Alicante/Alacant,Calp,762738.050048245,4281141.09289205,0.0,132.0,i-DE,38.63989931588193,0.018662399621284693
3198,Alicante/Alacant,Calp,762738.050048245,4281141.09289205,0.0,20.0,i-DE,38.63989931588193,0.018662399621284693
3198,Alicante/Alacant,Calp,762738.050048245,4281141.09289205,0.0,20.0,i-DE,38.63989931588193,0.018662399621284693
3574,Alicante/Alacant,Pilar de la Horadada,694851.462030525,4197840.7334455,0.0,66.0,i-DE,37.90725272923683,-0.7835930063973824
3574,Alicante/Alacant,Pilar de la Horadada,694851.462030525,4197840.7334455,7.91,20.0,i-DE,37.90725272923683,-0.7835930063973824
3574,Alicante/Alacant,Pilar de la Horadada,694851.462030525,4197840.7334455,6.45,20.0,i-DE,37.90725272923683,-0.7835930063973824
3601,Alicante/Alacant,Elx/Elche,699764.83107419,4239555.65724708,0.0,132.0,i-DE,38.28185576939006,-0.716077218641859
3601,Alicante/Alacant,Elx/Elche,699764.83107419,4239555.65724708,0.0,20.0,i-DE,38.28185576939006,-0.716077218641859
3601,Alicante/Alacant,Elx/Elche,699764.83107419,4239555.65724708,0.0,20.0,i-DE,38.28185576939006,-0.716077218641859
3601,Alicante/Alacant,Elx/Elche,699764.83107419,4239555.65724708,0.0,20.0,i-DE,38.28185576939006,-0.716077218641859
3854,Alicante/Alacant,Cocentaina,721958.427062693,4292297.88266138,19.89,132.0,i-DE,38.7514921704006,-0.4458216163926743
3854,Alicante/Alacant,Cocentaina,721958.427062693,4292297.88266138,0.0,20.0,i-DE,38.7514921704006,-0.4458216163926743
3737,Alicante/Alacant,Crevillent,693904.199366324,4233822.00448011,0.0,132.0,i-DE,38.23150491495044,-0.7846042920411841
3737,Alicante/Alacant,Crevillent,693904.199366324,4233822.00448011,0.0,20.0,i-DE,38.23150491495044,-0.7846042920411841
3678,Alicante/Alacant,Dénia,764638.873863026,4304393.1004271,0.0,132.0,i-DE,38.84857878911627,0.04936788971514531
3678,Alicante/Alacant,Dénia,764638.873863026,4304393.1004271,0.0,20.0,i-DE,38.84857878911627,0.04936788971514531
3678,Alicante/Alacant,Dénia,764638.873863026,4304393.1004271,0.0,20.0,i-DE,38.84857878911627,0.04936788971514531
3679,Alicante/Alacant,Sant Joan d'Alacant,725173.86776168,4256059.39545284,0.0,20.0,i-DE,38.42443020192987,-0.4205611513907618
3679,Alicante/Alacant,Sant Joan d'Alacant,725173.86776168,4256059.39545284,0.0,20.0,i-DE,38.42443020192987,-0.4205611513907618
4040,Alicante/Alacant,Alacant/Alicante,716839.571412649,4245192.72319424,0.0,20.0,i-DE,38.328650462341905,-0.5192939209069272
4040,Alicante/Alacant,Alacant/Alicante,716839.571412649,4245192.72319424,0.0,20.0,i-DE,38.328650462341905,-0.5192939209069272
4040,Alicante/Alacant,Alacant/Alicante,716839.571412649,4245192.72319424,0.0,20.0,i-DE,38.328650462341905,-0.5192939209069272
4002,Alicante/Alacant,Elx/Elche,704010.673151859,4239034.7032081,0.0,66.0,i-DE,38.27620982289286,-0.6677212103135003
4002,Alicante/Alacant,Elx/Elche,704010.673151859,4239034.7032081,0.0,20.0,i-DE,38.27620982289286,-0.6677212103135003
4002,Alicante/Alacant,Elx/Elche,704010.673151859,4239034.7032081,0.0,20.0,i-DE,38.27620982289286,-0.6677212103135003
4002,Alicante/Alacant,Elx/Elche,704010.673151859,4239034.7032081,0.0,20.0,i-DE,38.27620982289286,-0.6677212103135003
3532,Alicante/Alacant,Elx/Elche,696079.542978328,4236410.95806171,0.0,20.0,i-DE,38.25434841632306,-0.7590520173444091
