segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
265,N-232,N,480.7,569.72,86.573796875,1319.0645161290322,1184.1290322580646,134.93548387096774,31.0,False,120,09
266,N-232A,N,30.85,31.325,0.523946533203125,183.5,,,,False,120,12
267,N-232A,N,31.63,31.785,0.17424932861328124,183.5,,,,False,120,12
268,N-232A,N,31.905,33.25,1.065023681640625,77.0,64.0,13.0,4.0,False,120,12
269,N-232A,N,34.57,35.69,1.114805908203125,8.0,7.5,0.5,4.0,False,120,12
270,N-232A,N,35.71,35.97,0.26263742065429685,183.5,,,,False,120,12
271,N-232A,N,36.015,37.835,1.8101278076171874,290.0,274.5,15.5,2.0,False,120,12
272,N-232A,N,37.88,38.86,1.0046284790039062,183.5,,,,False,120,12
273,N-232A,N,39.135,39.3,0.17017694091796876,6.5,6.0,0.5,2.0,False,120,12
274,N-232A,N,39.36,40.37,0.8065134887695312,183.5,,,,False,120,12
275,N-232A,N,71.562,74.284,2.986790771484375,67.5,59.75,7.75,4.0,False,120,12
276,N-232A,N,77.085,79.0,1.4743084716796875,183.5,,,,False,120,12
277,N-232A,N,79.12,84.0,3.45303662109375,17.5,15.0,2.5,4.0,False,120,12
278,N-232A,N,92.069,96.4,3.885138427734375,569.5,520.75,48.75,4.0,False,120,44
279,N-232A,N,100.05,100.865,0.93746142578125,183.5,,,,False,120,44
280,N-232A,N,131.74,136.5,5.4694423828125,4713.25,4313.5,399.75,4.0,False,120,44
281,N-232A,N,208.8,212.9,5.084783203125,2255.5,1926.75,328.75,4.0,False,120,50
282,N-232A,N,217.4,219.0,1.542498291015625,183.5,,,,False,120,50
283,N-232A,N,375.3,377.9,2.658904541015625,589.0,518.25,70.75,4.0,False,120,26
