segment_id,route_segment,daily_bev_traffic_2027,n_chargers_needed,seasonal_multiplier,is_tent,tent_tier,imd_total,length_km
331,N-310,54.4,2,1.0,False,none,1587.6,141.502671875
332,N-320,148.6,2,1.0,False,none,4334.5,136.46625
333,N-320,178.6,2,1.0,False,none,5208.9,0.6004724731445312
334,N-320,208.6,2,1.0,False,none,6083.3,50.15146484375
335,N-320A,11.7,2,1.0,False,none,341.7,14.4016630859375
336,N-323,154.2,4,1.0,True,comprehensive,4498.9,0.6319627685546875
337,N-323,202.9,2,1.0,False,none,5916.8,2.08598388671875
338,N-323,154.2,4,1.0,True,comprehensive,4498.9,3.7331923828125
339,N-323A,40.3,2,1.0,False,none,1175.7,5.23801708984375
340,N-323A,28.7,2,1.0,False,none,837.8,11.95209765625
341,N-323A,119.5,2,1.0,False,none,3486.2,11.894681640625
342,N-323A,168.9,2,1.0,False,none,4927.5,11.2128271484375
343,N-323A,1.9,2,1.0,False,none,54.5,3.848209716796875
344,N-323A,6.4,2,1.0,False,none,185.5,0.24500949096679686
345,N-323A,17.1,2,1.0,False,none,500.0,2.646207275390625
346,N-325,389.4,2,1.0,False,none,11358.5,2.827391357421875
347,N-325,211.2,2,1.0,False,none,6159.2,13.5106923828125
348,N-330,69.7,2,1.0,False,none,2032.6,76.0208203125
349,N-330,53.4,2,1.0,False,none,1557.9,112.4043828125
350,N-330,601.1,2,1.0,False,none,17532.3,2.138955078125
351,N-330,24.7,2,1.0,False,none,720.1,50.300453125
352,N-330,65.3,2,1.0,False,none,1903.4,9.2192607421875
353,N-330,65.3,2,1.0,False,none,1903.4,0.846300537109375
354,N-330,160.4,2,1.0,False,none,4678.5,8.04113720703125
355,N-330,1244.1,3,1.0,False,none,36286.8,7.9513154296875
356,N-330,44.9,2,1.0,False,none,1309.0,8.507009765625
357,N-330,11.9,2,1.0,False,none,347.5,24.17075
358,N-330,11.6,2,1.0,False,none,339.8,13.9063505859375
359,N-330,60.8,2,1.0,False,none,1774.2,1.74205517578125
360,N-330,7.4,2,1.0,False,none,215.0,8.7194228515625
361,N-332,1008.2,3,1.0,False,none,29407.0,2.15831005859375
362,N-332,569.2,2,1.0,False,none,16601.5,0.7388976440429688
363,N-332,521.7,2,1.0,False,none,15214.8,22.955201171875
364,N-332,1457.4,4,1.0,False,none,42508.5,6.63509033203125
365,N-332,780.5,2,1.0,False,none,22764.0,2.373002197265625
366,N-332,550.6,2,1.0,False,none,16059.2,0.6029896240234375
367,N-332,377.5,2,1.0,False,none,11011.0,17.3389921875
368,N-332,235.6,2,1.0,False,none,6872.0,0.7610784912109375
369,N-332,249.0,2,1.0,False,none,7262.8,12.04282421875
370,N-332,550.6,2,1.0,False,none,16059.2,33.80339453125
