segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,simulated_charging_rate,n_chargers_stochastic,is_tent,tent_tier
362,N-332,16601.5,569.2,1.0,0.1245,2,False,None
363,N-332,15214.8,521.7,1.0,0.1315,2,False,None
364,N-332,42508.5,1457.4,1.0,0.142,4,False,None
365,N-332,22764.0,780.5,1.0,0.1205,2,False,None
366,N-332,16059.2,550.6,1.0,0.1295,2,False,None
367,N-332,11011.0,377.5,1.0,0.132,2,False,None
368,N-332,6872.0,235.6,1.0,0.1355,2,False,None
369,N-332,7262.8,249.0,1.0,0.136,2,False,None
370,N-332,16059.2,550.6,1.0,0.124,2,False,None
371,N-332,13671.1,468.7,1.0,0.1255,2,False,None
372,N-332,9791.2,335.7,1.0,0.1165,2,False,None
373,N-332A,3295.3,113.0,1.0,0.1295,2,False,None
374,N-332A,3174.5,108.8,1.0,0.1295,2,False,None
375,N-332R,7840.5,268.8,1.0,0.124,2,False,None
376,N-334,52428.5,1797.5,1.0,0.122,5,False,None
377,N-334,52428.5,1797.5,1.0,0.1265,5,False,None
378,N-340,8246.2,282.7,1.0,0.125,2,False,None
379,N-340,8246.2,282.7,1.0,0.1215,2,False,None
380,N-340,938.8,32.2,1.0,0.1315,2,False,None
381,N-340,23717.5,813.2,1.0,0.1185,2,False,None
382,N-340,9655.5,331.0,1.0,0.1195,2,False,None
383,N-340,7856.8,269.4,1.0,0.125,2,False,None
384,N-340,5080.2,174.2,1.0,0.1285,2,False,None
385,N-340,8246.2,282.7,1.0,0.1435,2,False,None
386,N-340,8246.2,282.7,1.0,0.129,2,False,None
387,N-340,13233.1,453.7,1.0,0.135,2,False,None
388,N-340,8246.2,282.7,1.0,0.1215,4,True,Comprehensive
389,N-340,8310.4,284.9,1.0,0.127,4,True,Comprehensive
390,N-340,8246.2,282.7,1.0,0.1365,2,False,None
391,N-340,8092.4,277.5,1.0,0.1255,2,False,None
392,N-340,8246.2,282.7,1.0,0.1205,2,False,None
393,N-340,16987.2,582.4,1.0,0.1125,2,False,None
394,N-340,14443.5,495.2,1.0,0.129,2,False,None
395,N-340,8246.2,282.7,1.0,0.129,2,False,None
396,N-340,18588.2,637.3,1.0,0.1235,2,False,None
397,N-340,8246.2,282.7,1.0,0.132,2,False,None
398,N-340,29352.2,1006.4,1.0,0.1215,3,False,None
399,N-340A,10265.0,351.9,1.0,0.122,2,False,None
400,N-340A,818.0,28.0,1.0,0.1135,2,False,None
401,N-340A,6819.0,233.8,1.0,0.1315,2,False,None
402,N-340A,5114.2,175.3,1.0,0.1205,2,False,None
403,N-340A,6819.0,233.8,1.0,0.122,2,False,None
404,N-347AL,5194.5,178.1,1.0,0.1285,4,True,Comprehensive
405,N-347GR,8640.0,296.2,1.0,0.1265,2,False,None
406,N-349,13089.5,448.8,1.0,0.1175,4,True,Comprehensive
407,N-350,17440.8,598.0,1.0,0.121,2,False,None
408,N-351,5740.9,196.8,1.0,0.129,2,False,None
409,N-351,5740.9,196.8,1.0,0.122,2,False,None
410,N-357,8845.2,303.3,1.0,0.1325,2,False,None
411,N-357,8845.2,303.3,1.0,0.125,4,True,Core
412,N-357,8845.2,303.3,1.0,0.132,4,True,Core
413,N-400,6557.6,224.8,1.0,0.1285,2,False,None
414,N-400,3191.2,109.4,1.0,0.135,2,False,None
415,N-400,700.2,24.0,1.0,0.1295,2,False,None
416,N-400,700.2,24.0,1.0,0.123,2,False,None
417,N-400,553.3,19.0,1.0,0.13,2,False,None
418,N-400,332.4,11.4,1.0,0.136,2,False,None
419,N-400,700.2,24.0,1.0,0.1345,2,False,None
420,N-400A,67.8,2.3,1.0,0.1355,2,False,None
421,N-401,5156.4,176.8,1.0,0.1265,2,False,None
422,N-401A,2211.5,75.8,1.0,0.1275,2,False,None
423,N-401A,1446.2,49.6,1.0,0.1225,2,False,None
424,N-401A,4708.8,161.4,1.0,0.1285,2,False,None
425,N-401A,2211.5,75.8,1.0,0.118,2,False,None
426,N-401A,2211.5,75.8,1.0,0.1275,2,False,None
427,N-403,515.8,17.7,1.0,0.134,2,False,None
428,N-403,3765.1,129.1,1.0,0.129,2,False,None
429,N-403,6163.2,211.3,1.0,0.1195,2,False,None
430,N-403,2993.8,102.6,1.0,0.126,2,False,None
431,N-403A,440.2,15.1,1.0,0.1175,2,False,None
432,N-403A,2075.0,71.1,1.0,0.116,2,False,None
433,N-403A,1425.5,48.9,1.0,0.1285,2,False,None
434,N-403A,2487.2,85.3,1.0,0.1315,2,False,None
435,N-430A,169.2,5.8,1.0,0.1275,2,False,None
436,N-430A,452.5,15.5,1.0,0.1225,2,False,None
437,N-432A,158.5,5.4,1.0,0.131,2,False,None
438,N-432A,31.5,1.1,1.0,0.1475,2,False,None
439,N-432A,89.0,3.1,1.0,0.104,2,False,None
440,N-432A,59.2,2.0,1.0,0.1335,2,False,None
441,N-432A,498.3,17.1,1.0,0.1225,2,False,None
