;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201005;Mayo de 2010;14;Murcia, Región de;30;Murcia;85144;62209;21213;1722;0
201005;Mayo de 2010;15;Navarra, Comunidad Foral de;31;Navarra;33116;26599;6295;222;0
201005;Mayo de 2010;16;País Vasco;1;Araba/Álava;15033;12341;2630;62;0
201005;Mayo de 2010;16;País Vasco;20;Gipuzkoa;34091;28478;5384;229;0
201005;Mayo de 2010;16;País Vasco;48;Bizkaia;51219;42273;8588;358;0
201005;Mayo de 2010;17;Rioja, La;26;Rioja, La;15856;12537;3157;162;0
201005;Mayo de 2010;18;Ceuta;51;Ceuta;3245;1345;1749;151;0
201005;Mayo de 2010;19;Melilla;52;Melilla;3191;1514;1492;185;0
201006;Junio de 2010;1;Andalucía;4;Almería;45556;28160;14203;1236;1957
201006;Junio de 2010;1;Andalucía;11;Cádiz;74368;40361;24471;5152;4384
201006;Junio de 2010;1;Andalucía;14;Córdoba;51981;24781;14992;1638;10570
201006;Junio de 2010;1;Andalucía;18;Granada;57262;30737;17510;1610;7405
201006;Junio de 2010;1;Andalucía;21;Huelva;35367;21025;9838;941;3563
201006;Junio de 2010;1;Andalucía;23;Jaén;41783;19999;11817;1272;8695
201006;Junio de 2010;1;Andalucía;29;Málaga;96406;59114;28510;3317;5465
201006;Junio de 2010;1;Andalucía;41;Sevilla;122292;66804;35903;4255;15330
201006;Junio de 2010;2;Aragón;22;Huesca;9138;7555;1505;78;0
201006;Junio de 2010;2;Aragón;44;Teruel;5552;4137;1373;42;0
201006;Junio de 2010;2;Aragón;50;Zaragoza;49847;39665;9589;593;0
201006;Junio de 2010;3;Asturias, Principado de;33;Asturias;48194;34483;12909;802;0
201006;Junio de 2010;4;Balears, Illes;7;Balears, Illes;49724;36623;12504;597;0
201006;Junio de 2010;5;Canarias;35;Palmas, Las;75791;47017;25263;3511;0
201006;Junio de 2010;5;Canarias;38;Santa Cruz de Tenerife;67120;43466;21564;2090;0
201006;Junio de 2010;6;Cantabria;39;Cantabria;25782;19710;5621;451;0
201006;Junio de 2010;7;Castilla y León;5;Ávila;7442;5075;2214;153;0
201006;Junio de 2010;7;Castilla y León;9;Burgos;16852;13258;3374;220;0
201006;Junio de 2010;7;Castilla y León;24;León;21432;15714;5323;395;0
201006;Junio de 2010;7;Castilla y León;34;Palencia;6306;4580;1562;164;0
201006;Junio de 2010;7;Castilla y León;37;Salamanca;14129;9699;3959;471;0
201006;Junio de 2010;7;Castilla y León;40;Segovia;5734;4508;1176;50;0
201006;Junio de 2010;7;Castilla y León;42;Soria;3145;2401;708;36;0
201006;Junio de 2010;7;Castilla y León;47;Valladolid;24057;18891;4627;539;0
201006;Junio de 2010;7;Castilla y León;49;Zamora;7001;4879;1947;175;0
201006;Junio de 2010;8;Castilla - La Mancha;2;Albacete;20885;13747;6466;672;0
201006;Junio de 2010;8;Castilla - La Mancha;13;Ciudad Real;24633;15879;8193;561;0
201006;Junio de 2010;8;Castilla - La Mancha;16;Cuenca;9032;6179;2686;167;0
201006;Junio de 2010;8;Castilla - La Mancha;19;Guadalajara;14108;11044;2983;81;0
201006;Junio de 2010;8;Castilla - La Mancha;45;Toledo;39569;28704;10290;575;0
201006;Junio de 2010;9;Cataluña;8;Barcelona;347159;279599;65138;2422;0
201006;Junio de 2010;9;Cataluña;17;Girona;39044;29572;9233;239;0
201006;Junio de 2010;9;Cataluña;25;Lleida;19168;14686;4323;159;0
201006;Junio de 2010;9;Cataluña;43;Tarragona;46171;34812;10878;481;0
201006;Junio de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;104991;70207;30768;4016;0
201006;Junio de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;47347;37345;9745;257;0
201006;Junio de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;160202;121735;35891;2576;0
201006;Junio de 2010;11;Extremadura;6;Badajoz;38618;18274;13166;2103;5075
201006;Junio de 2010;11;Extremadura;10;Cáceres;21861;11548;6479;598;3236
201006;Junio de 2010;12;Galicia;15;Coruña, A;50111;35883;12991;1237;0
201006;Junio de 2010;12;Galicia;27;Lugo;12085;8511;3276;298;0
201006;Junio de 2010;12;Galicia;32;Ourense;13716;8957;4330;429;0
201006;Junio de 2010;12;Galicia;36;Pontevedra;50925;36773;12989;1163;0
201006;Junio de 2010;13;Madrid, Comunidad de;28;Madrid;326940;268005;56336;2599;0
201006;Junio de 2010;14;Murcia, Región de;30;Murcia;82962;61073;20096;1793;0
201006;Junio de 2010;15;Navarra, Comunidad Foral de;31;Navarra;32415;26010;6161;244;0
201006;Junio de 2010;16;País Vasco;1;Araba/Álava;14895;12319;2515;61;0
201006;Junio de 2010;16;País Vasco;20;Gipuzkoa;32519;27108;5178;233;0
