Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
ES BESSONS 132;29750;50208;SEB;Islas Baleares;;;;;NO;NO;NO;25; N/A ; Riesgo interacciones ;25;N/A;N/A;25;25;WSCR_Nudo;N/A;297;E02_SEB;297;405;405;297;297;Est_Gen_Nudo;NO;307;E02_SEB;307;424;424;307;307;Est_Alm_Nudo;NO;232; D4_SEB ;232;20;20;N/A;20;20;D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;20;20;D_Zona;D_Zona;D_Zona;D_Zona;20;20;20;20;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ES BESSONS 66;39755;50208;SEB;Islas Baleares;;;;;NO;NO;NO;15; W01_SEB_BIN ; Riesgo interacciones ;15;15;15;15;15;WSCR_Nudo;NO;318;E05_SEB, E18_SEB_BIN;318;390;390;318;318;Est_Gen_Nudo;NO;336;E05_SEB, E18_SEB_BIN;336;390;390;336;336;Est_Alm_Nudo;NO;235; D3_SEB, D5_SEB_BIN ;235;44;44;N/A;44;44;D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;15;44;15;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;44;15;44;15;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;421; NO ; NO ;;;;;;;;;;;;;
ES BESSONS (ES BESSONS B) 66;79755;50208;SEB;Islas Baleares;;;;;NO;NO;NO;15; W01_SEB_BIN ; Riesgo interacciones ;15;15;15;15;15;WSCR_Nudo;NO;177;E05_SEB, E18_SEB_BIN;177;390;390;177;177;Est_Gen_Nudo;NO;203;E05_SEB, E18_SEB_BIN;203;390;390;203;203;Est_Alm_Nudo;NO;219; D5_SEB_BIN ;219;235;235;N/A;219;219;D_Nudo;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;15;203;15;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;177;15;203;15;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;278; NO ; NO ;;;;;;;;;;;;;
ESCALONA 220;23085;50209;SEPE;Aragón;;;;;NO;NO;NO;305; N/A ;  ;305;N/A;N/A;305;305;WSCR_Nudo;N/A;241;N/A;241;N/A;N/A;241;241;Est_Gen_Nudo;N/A;347;N/A;347;N/A;N/A;347;347;Est_Alm_Nudo;N/A;1.263; N/A ;1263;N/A;N/A;N/A;1.263;1.263;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;241;347;305;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;241;241;347;305;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ESCATRON 400;13020;50210;SEPE;Aragón;✓;✓;;;SI;NO;SI;1.344; N/A ;  ;725;N/A;N/A;725;725;WSCR_Nudo;N/A;2.227;E62_SEPE;804;31;31;31;31;Est_Gen_Zona;NO;3.081;E62_SEPE;1658;885;885;885;885;Est_Alm_Zona;NO;441; N/A ;-983;N/A;N/A;N/A;0;0;D_Nudo;N/A;1.423;804;619;0;619;1.423;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.423;1.423;0;0;0;0; NO ;575; SI ; NO ;;;;;;;;;;;;;
ESCATRON 220;23092;50210;SEPE;Aragón;;✓;✓;;SI;SI;SI;946; N/A ;  ;710;N/A;N/A;710;710;WSCR_Nudo;N/A;891;E318_SEPE, E62_SEPE;119;-210;-210;0;0;Est_Gen_Zona;NO;1.049;E318_SEPE, E62_SEPE;276;-112;-112;0;0;Est_Alm_Zona;NO;537; N/A ;-236;N/A;N/A;N/A;0;0;D_Nudo;N/A;773;221;236;316;551;773;0;74;0;74;0;74;74;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;773;773;0;0;0;47; NO ;398; NO ; NO ;;;;;;;;;;;;;
ESCOBAR 66;39050;50730;SEC;Canarias;;;;;NO;NO;NO;65; N/A ;  ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;163;E08_SEC;99;-31;-31;0;0;Est_Gen_Zona;NO;232;E08_SEC;167;-20;-20;0;0;Est_Alm_Zona;NO;4; D02_SEC ;-61;-104;-104;N/A;0;0;D_Nudo/D_Zona;NO;65;0;65;0;65;65;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo/D_Zona;WSCR_Nudo/Est_Gen_Zona/D_Nudo/D_Zona;Est_Alm_Zona/D_Nudo/D_Zona;WSCR_Nudo/Est_Alm_Zona/D_Nudo/D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;65;65;0;0;0;18; NO ;270; NO ; NO ;;;;;;;;;;;;;
ESCUCHA 220;23095;50212;SEPE;Aragón;✓;;✓;;SI;SI;SI;381; N/A ;  ;339;N/A;N/A;339;339;WSCR_Nudo;N/A;316;E202_SEPE;184;-80;-80;0;0;Est_Gen_Zona;NO;412;E202_SEPE;280;733;733;280;280;Est_Alm_Nudo;NO;1.213; N/A ;1081;N/A;N/A;N/A;1.081;1.081;D_Nudo;N/A;132;25;43;64;107;132;0;641;0;641;0;641;0;641;0;0;280;280;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;0;0;280;280;280;280;132;132;0;0;0;1.162; SI ;2.850; SI ; NO ;;;;;;;;;;;;;
ESPARTAL 220;23098;50213;SEPE;Aragón;✓;;✓;;SI;SI;SI;249; N/A ;  ;193;N/A;N/A;193;193;WSCR_Nudo;N/A;943;E318_SEPE;554;-210;-210;0;0;Est_Gen_Zona;NO;1.044;E318_SEPE;655;-112;-112;0;0;Est_Alm_Zona;NO;1.198; N/A ;810;N/A;N/A;N/A;810;810;D_Nudo;N/A;388;220;56;112;168;388;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;388;388;0;0;0;15; NO ;230; NO ; NO ;;;;;;;;;;;;;
ESPINARDO 220;24154;51402;SEPE;Región de Murcia;;;;✓;NO;SI;SI;89; N/A ;  ;89;N/A;N/A;89;89;WSCR_Nudo;N/A;866;E39_SEPE;866;1574;1574;866;866;Est_Gen_Nudo;NO;871;E39_SEPE;871;1642;1642;871;871;Est_Alm_Nudo;NO;451; D67_SEPE ;451;-52;-52;N/A;0;0;D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;76; NO ; NO ;;SI;03/08/2022;;;;;0;0;0;0;Concurso;
ESQUEDAS 220;23077;50214;SEPE;Aragón;;✓;✓;✓;SI;SI;SI;151; N/A ;  ;50;N/A;N/A;50;50;WSCR_Nudo;N/A;476;E333_SEPE;229;-171;-171;0;0;Est_Gen_Zona;NO;511;E333_SEPE;264;-145;-145;0;0;Est_Alm_Zona;NO;1.299; N/A ;1052;N/A;N/A;N/A;1.052;1.052;D_Nudo;N/A;247;17;101;129;230;247;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;247;247;0;0;0;0; NO ;228; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
FACINAS 220;25074;50219;SEPE;Andalucía;✓;;;;SI;NO;SI;161; N/A ;  ;-235;N/A;N/A;0;0;WSCR_Nudo;N/A;490;E49_SEPE;94;2583;2583;94;94;Est_Gen_Nudo;NO;510;E49_SEPE;114;2583;2583;114;114;Est_Alm_Nudo;NO;960; D19_SEPE ;564;152;152;N/A;152;152;D_Zona;NO;396;0;396;0;396;396;0;0;0;0;0;0;0;0;94;0;114;0;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;94;0;0;0;114;0;0;0;396;396;0;0;0;1.131; SI ;1.557; SI ; NO ;;;;;;;;;;;;;
FACULTATS 220;23096;50220;SEPE;Cataluña;;;✓;;NO;SI;SI;361; N/A ;  ;361;N/A;N/A;361;361;WSCR_Nudo;N/A;601;N/A;601;N/A;N/A;601;601;Est_Gen_Nudo;N/A;669;N/A;669;N/A;N/A;669;669;Est_Alm_Nudo;N/A;803; N/A ;803;N/A;N/A;N/A;803;803;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;601;361;669;361;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;601;361;0;0;669;361;0;0;0;0;0;0; NO ;140; NO ; NO ;;;;;;;;;;;;;
FADRELL 400;14047;51408;SEPE;Comunidad Valenciana;;;;;NO;NO;NO;294; N/A ;  ;294;N/A;N/A;294;294;WSCR_Nudo;N/A;2.369;E272_SEPE;2369;2501;2501;2.369;2.369;Est_Gen_Nudo;NO;2.954;E272_SEPE;2954;3114;3114;2.954;2.954;Est_Alm_Nudo;NO;1.780; N/A ;1780;N/A;N/A;80;1.780;1.780;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.780;294;1.780;294;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;1.780;294;1.780;294;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;402; NO ; NO ;;;;;;;;;;;;;
FALCA 66;39910;50221;SEB;Islas Baleares;;;✓;;NO;SI;SI;172; N/A ; Riesgo interacciones ;162;N/A;N/A;162;162;WSCR_Nudo;N/A;193;N/A;193;N/A;N/A;193;193;Est_Gen_Nudo;N/A;203;N/A;193;N/A;N/A;193;193;Est_Alm_Nudo;N/A;219; N/A ;209;N/A;N/A;N/A;209;209;D_Nudo;N/A;10;0;10;0;10;0;10;0;0;0;0;0;0;0;193;162;193;162;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;193;162;0;0;193;162;10;10;0;0;0;20; NO ;0; NO ; NO ;;;;;;;;;;;;;
FARGUE 220;25076;50222;SEPE;Andalucía;;✓;✓;;SI;SI;SI;207; N/A ;  ;184;N/A;N/A;184;184;WSCR_Nudo;N/A;1.340;E274_SEPE;1266;1147;1147;1.147;1.147;Est_Gen_Zona;SI;1.381;E274_SEPE;1307;1469;1469;1.307;1.307;Est_Alm_Nudo;SI;1.066; N/A ;992;N/A;N/A;N/A;992;992;D_Nudo;N/A;74;2;23;49;72;74;0;95;0;23;73;95;95;0;992;184;992;184;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;992;184;992;184;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;74;74;0;0;0;23; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;992;184;992;184;Concurso;
FARNERS 400;13061;51453;SEPE;Cataluña;;;;;NO;NO;NO;649; N/A ; Riesgo interacciones ;649;N/A;N/A;649;649;WSCR_Nudo;N/A;2.456;E356_SEPE;2456;2513;2513;2.456;2.456;Est_Gen_Nudo;NO;3.093;E356_SEPE;3093;3093;3093;3.093;3.093;Est_Alm_Nudo/Est_Alm_Zona;NO;2.517; N/A ;2517;N/A;N/A;817;2.517;2.517;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.456;649;2.517;649;Est_Gen_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;2.456;649;2.517;649;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
FARNERS 220;23272;51453;SEPE;Cataluña;;;;;NO;NO;NO;407; N/A ; Riesgo interacciones ;407;N/A;N/A;407;407;WSCR_Nudo;N/A;2.513;E356_SEPE, E357_SEPE;2513;2513;1739;2.513;1.739;Est_Gen_Nudo/Est_Gen_Zona;SI;2.640;E356_SEPE, E357_SEPE;2640;2699;1832;2.640;1.832;Est_Alm_Nudo;SI;867; D92_SEPE ;867;867;0;N/A;867;0;D_Nudo/D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;867;407;867;407;D_Nudo/D_Zona;WSCR_Nudo;D_Nudo/D_Zona;WSCR_Nudo;867;407;867;407;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
FAUSITA 400;14054;50223;SEPE;Región de Murcia;✓;✓;;;SI;NO;SI;489; N/A ;  ;269;N/A;N/A;269;269;WSCR_Nudo;N/A;1.656;E135_SEPE, E331_SEPE;621;314;314;314;314;Est_Gen_Zona;SI;2.029;E135_SEPE, E331_SEPE;993;854;854;854;854;Est_Alm_Zona;SI;1.669; N/A ;633;N/A;N/A;417;633;633;D_Nudo;N/A;1.035;816;220;0;220;1.035;0;0;0;0;0;0;0;0;314;269;633;269;Est_Gen_Zona;WSCR_Nudo;D_Nudo;WSCR_Nudo;314;269;633;269;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;1.035;1.035;0;0;0;0; NO ;302; NO ; NO ;;SI;03/08/2022;;;;;314;269;633;269;Concurso;
FAUSITA 220;24073;50223;SEPE;Región de Murcia;;✓;✓;;SI;SI;SI;558; N/A ;  ;297;N/A;N/A;297;297;WSCR_Nudo;N/A;1.816;E135_SEPE;1349;314;314;314;314;Est_Gen_Zona;SI;2.080;E135_SEPE;1614;854;854;854;854;Est_Alm_Zona;SI;468; N/A ;2;N/A;N/A;N/A;2;2;D_Nudo;N/A;467;130;261;76;337;467;0;63;0;0;63;63;63;0;2;2;2;2;D_Nudo;D_Nudo;D_Nudo;D_Nudo;2;2;2;2;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;467;467;0;0;0;302; SI ;9; NO ; NO ;;SI;29/06/2021;;;;;2;2;2;2;Concurso;
FERIA DE MUESTRAS 220;24076;50224;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;290; N/A ;  ;290;N/A;N/A;290;290;WSCR_Nudo;N/A;541;N/A;518;N/A;N/A;518;518;Est_Gen_Nudo;N/A;548;N/A;518;N/A;N/A;518;518;Est_Alm_Nudo;N/A;865; N/A ;835;N/A;N/A;N/A;835;835;D_Nudo;N/A;30;0;0;30;30;0;30;0;0;0;0;0;0;0;518;290;518;290;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;518;290;0;0;518;290;30;30;0;0;0;30; NO ;30; NO ; NO ;;;;;;;;;;;;;
FOIX 220;23100;50225;SEPE;Cataluña;;;✓;;NO;SI;SI;475; N/A ;  ;475;N/A;N/A;475;475;WSCR_Nudo;N/A;794;N/A;794;N/A;N/A;794;794;Est_Gen_Nudo;N/A;867;N/A;867;N/A;N/A;867;867;Est_Alm_Nudo;N/A;822; N/A ;822;N/A;N/A;N/A;822;822;D_Nudo;N/A;0;0;0;0;0;0;0;15;0;15;0;15;0;15;794;475;822;475;Est_Gen_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;794;475;822;475;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;30; NO ;1.702; SI ; NO ;;SI;20/08/2021;;;;;794;475;822;475;Concurso;
FONTEFRIA 400;11028;50731;SEPE;Galicia;;;;;NO;NO;NO;752; N/A ;  ;752;N/A;N/A;752;752;WSCR_Nudo;N/A;2.319;E119_SEPE;2319;2490;1873;2.319;1.873;Est_Gen_Nudo;SI;2.739;E119_SEPE;2739;2769;2035;2.739;2.035;Est_Alm_Nudo;SI;2.294; N/A ;2294;N/A;N/A;594;2.294;2.294;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.294;752;2.294;752;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;2.294;752;2.294;752;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.265; SI ; NO ;;;;;;;;;;;;;
FONTEFRIA 220;21059;50731;SEPE;Galicia;;✓;;;SI;NO;SI;705; N/A ;  ;667;N/A;N/A;667;667;WSCR_Nudo;N/A;1.037;E119_SEPE, E328_SEPE;999;618;618;618;618;Est_Gen_Zona;SI;1.342;E119_SEPE, E328_SEPE;1304;788;788;788;788;Est_Alm_Zona;SI;772; N/A ;734;N/A;N/A;N/A;734;734;D_Nudo;N/A;38;0;38;0;38;38;0;2;0;2;0;2;2;0;618;618;734;667;Est_Gen_Zona;Est_Gen_Zona;D_Nudo;WSCR_Nudo;618;618;734;667;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;38;38;0;0;0;116; NO ;170; NO ; NO ;;SI;19/06/2024;;;;;618;618;734;667;Concurso;
FORADADA 220;23062;52068;SEPE;Aragón;;;;;NO;NO;NO;383; N/A ;  ;383;N/A;N/A;383;383;WSCR_Nudo;N/A;1.286;E271_SEPE;1286;1046;793;1.046;793;Est_Gen_Zona;SI;1.315;E271_SEPE;1315;1046;793;1.046;793;Est_Alm_Zona;SI;1.186; D31_SEPE ;1186;910;656;N/A;910;656;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910;383;910;383;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;910;383;910;383;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.065; SI ; NO ;;;;;;;;;;;;;
FORMENTERA 132;29600;50226;SEB;Islas Baleares;;;;;NO;NO;NO;3; N/A ; Riesgo interacciones ;3;N/A;N/A;3;3;WSCR_Nudo;N/A;106;E23_SEB, E28_SEB;106;106;106;106;106;Est_Gen_Zona;NO;106;E23_SEB, E28_SEB;106;107;107;106;106;Est_Alm_Nudo;NO;221; N/A ;221;N/A;N/A;N/A;221;221;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;3;106;3;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;106;3;106;3;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;14; NO ; NO ;;;;;;;;;;;;;
FORMENTERA 30;9600;50226;SEB;Islas Baleares;;;✓;;NO;SI;SI;2; N/A ;  ;2;N/A;N/A;2;2;WSCR_Nudo;N/A;71;E23_SEB, E28_SEB;71;106;106;71;71;Est_Gen_Nudo;NO;72;E23_SEB, E28_SEB;72;107;107;72;72;Est_Alm_Nudo;NO;222; N/A ;222;N/A;N/A;N/A;222;222;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;2;72;2;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;71;2;0;0;72;2;0;0;0;0;0;14; NO ;0; NO ; NO ;;;;;;;;;;;;;
FORTUNA 220;24080;50227;SEPE;Comunidad de Madrid;;✓;✓;;SI;SI;SI;821; N/A ;  ;421;N/A;N/A;421;421;WSCR_Nudo;N/A;481;N/A;81;N/A;N/A;81;81;Est_Gen_Nudo;N/A;531;N/A;131;N/A;N/A;131;131;Est_Alm_Nudo;N/A;812; N/A ;412;N/A;N/A;N/A;412;412;D_Nudo;N/A;400;0;400;0;400;400;0;386;0;325;61;386;325;61;81;81;131;131;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;81;81;131;131;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;400;400;0;0;0;152; NO ;245; NO ; NO ;;SI;29/06/2021;;;;;81;81;131;131;Concurso;
FRANCOLI 220;23116;52041;SEPE;Cataluña;;;;;NO;NO;NO;203; N/A ;  ;203;N/A;N/A;203;203;WSCR_Nudo;N/A;109;E347_SEPE;109;109;109;109;109;Est_Gen_Nudo/Est_Gen_Zona;NO;999;E347_SEPE;999;999;999;999;999;Est_Alm_Nudo;NO;806; D57_SEPE ;806;806;806;N/A;806;806;D_Nudo/D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;109;806;203;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;D_Nudo/D_Zona;WSCR_Nudo;109;109;806;203;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;324; NO ; NO ;;;;;;;;;;;;;
FRANQUESES 220;23101;50228;SEPE;Cataluña;;;✓;;NO;SI;SI;473; N/A ;  ;382;N/A;N/A;382;382;WSCR_Nudo;N/A;548;E206_SEPE;482;1002;420;482;420;Est_Gen_Nudo;SI;613;E206_SEPE;482;1216;584;482;482;Est_Alm_Nudo;SI;847; N/A ;716;N/A;N/A;N/A;716;716;D_Nudo;N/A;132;14;91;27;118;41;91;0;0;0;0;0;0;0;482;382;482;382;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;62;0;0;0;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;420;382;0;0;482;382;132;132;0;0;0;476; SI ;272; NO ; NO ;;;;;;;;;;;;;
FRIEIRA 220;21053;50229;SEPE;Galicia;✓;;✓;;SI;SI;SI;397; N/A ;  ;397;N/A;N/A;397;397;WSCR_Nudo;N/A;628;E280_SEPE;195;27;27;27;27;Est_Gen_Zona;NO;685;E280_SEPE;241;27;27;27;27;Est_Alm_Zona;NO;1.091; N/A ;647;N/A;N/A;N/A;647;647;D_Nudo;N/A;444;282;0;161;161;434;10;0;0;0;0;0;0;0;27;27;27;27;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;27;27;27;27;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;444;444;0;0;0;0; NO ;100; NO ; NO ;;SI;29/06/2021;;;;;27;27;27;27;Concurso;
FUENCALIENTE 66;39480;51451;SEC;Canarias;;✓;;;SI;NO;SI;16; N/A ;  ;16;N/A;N/A;16;16;WSCR_Nudo;N/A;32;N/A;32;N/A;N/A;32;32;Est_Gen_Nudo;N/A;32;N/A;32;N/A;N/A;32;32;Est_Alm_Nudo;N/A;8; N/A ;8;N/A;N/A;N/A;8;8;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;8;8;0;0;8;8;0;0;0;0;0;0;0;61; NO ;0; NO ; NO ;;;;;;;;;;;;;
FUENCARRAL 400;14052;50230;SEPE;Comunidad de Madrid;;✓;✓;;SI;SI;SI;1.459; N/A ;  ;1.159;N/A;N/A;1.159;1.159;WSCR_Nudo;N/A;1.548;E122_SEPE;1248;1457;1457;1.248;1.248;Est_Gen_Nudo;NO;1.794;E122_SEPE;1494;1856;1856;1.494;1.494;Est_Alm_Nudo;NO;178; N/A ;-122;N/A;N/A;89;0;0;D_Nudo;N/A;300;0;300;0;300;300;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;300;300;0;0;0;0; NO ;1.515; SI ; NO ;;;;;;;;;;;;;
