Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total	Residentes en España	2012M03	3.344.772
Total Nacional			Viajero	Total	Residentes en España	2012M02	2.898.921
Total Nacional			Viajero	Total	Residentes en España	2012M01	2.390.674
Total Nacional			Viajero	Total	Residentes en España	2011M12	2.893.004
Total Nacional			Viajero	Total	Residentes en España	2011M11	2.891.744
Total Nacional			Viajero	Total	Residentes en España	2011M10	3.909.150
Total Nacional			Viajero	Total	Residentes en España	2011M09	4.424.189
Total Nacional			Viajero	Total	Residentes en España	2011M08	5.615.032
Total Nacional			Viajero	Total	Residentes en España	2011M07	5.093.546
Total Nacional			Viajero	Total	Residentes en España	2011M06	4.430.197
Total Nacional			Viajero	Total	Residentes en España	2011M05	3.746.751
Total Nacional			Viajero	Total	Residentes en España	2011M04	4.088.344
Total Nacional			Viajero	Total	Residentes en España	2011M03	3.380.332
Total Nacional			Viajero	Total	Residentes en España	2011M02	2.994.483
Total Nacional			Viajero	Total	Residentes en España	2011M01	2.358.110
Total Nacional			Viajero	Total	Residentes en España	2010M12	3.000.911
Total Nacional			Viajero	Total	Residentes en España	2010M11	2.990.886
Total Nacional			Viajero	Total	Residentes en España	2010M10	4.186.876
Total Nacional			Viajero	Total	Residentes en España	2010M09	4.307.901
Total Nacional			Viajero	Total	Residentes en España	2010M08	5.599.468
Total Nacional			Viajero	Total	Residentes en España	2010M07	5.002.604
Total Nacional			Viajero	Total	Residentes en España	2010M06	4.386.962
Total Nacional			Viajero	Total	Residentes en España	2010M05	4.042.148
Total Nacional			Viajero	Total	Residentes en España	2010M04	3.877.568
Total Nacional			Viajero	Total	Residentes en España	2010M03	3.543.609
Total Nacional			Viajero	Total	Residentes en España	2010M02	2.943.090
Total Nacional			Viajero	Total	Residentes en España	2010M01	2.351.307
Total Nacional			Viajero	Total	Residentes en España	2009M12	2.936.381
Total Nacional			Viajero	Total	Residentes en España	2009M11	2.990.558
Total Nacional			Viajero	Total	Residentes en España	2009M10	3.959.267
Total Nacional			Viajero	Total	Residentes en España	2009M09	4.277.206
Total Nacional			Viajero	Total	Residentes en España	2009M08	5.563.505
Total Nacional			Viajero	Total	Residentes en España	2009M07	4.888.672
Total Nacional			Viajero	Total	Residentes en España	2009M06	4.188.954
Total Nacional			Viajero	Total	Residentes en España	2009M05	3.939.334
Total Nacional			Viajero	Total	Residentes en España	2009M04	3.878.166
Total Nacional			Viajero	Total	Residentes en España	2009M03	3.292.594
Total Nacional			Viajero	Total	Residentes en España	2009M02	2.892.445
Total Nacional			Viajero	Total	Residentes en España	2009M01	2.331.000
Total Nacional			Viajero	Total	Residentes en España	2008M12	2.829.046
Total Nacional			Viajero	Total	Residentes en España	2008M11	3.072.911
Total Nacional			Viajero	Total	Residentes en España	2008M10	3.839.709
Total Nacional			Viajero	Total	Residentes en España	2008M09	4.425.435
Total Nacional			Viajero	Total	Residentes en España	2008M08	5.584.157
Total Nacional			Viajero	Total	Residentes en España	2008M07	4.977.811
Total Nacional			Viajero	Total	Residentes en España	2008M06	4.443.768
Total Nacional			Viajero	Total	Residentes en España	2008M05	4.226.211
Total Nacional			Viajero	Total	Residentes en España	2008M04	3.744.345
Total Nacional			Viajero	Total	Residentes en España	2008M03	4.097.905
Total Nacional			Viajero	Total	Residentes en España	2008M02	3.326.713
Total Nacional			Viajero	Total	Residentes en España	2008M01	2.673.147
Total Nacional			Viajero	Total	Residentes en España	2007M12	3.064.815
Total Nacional			Viajero	Total	Residentes en España	2007M11	3.502.020
Total Nacional			Viajero	Total	Residentes en España	2007M10	4.224.929
Total Nacional			Viajero	Total	Residentes en España	2007M09	4.604.220
Total Nacional			Viajero	Total	Residentes en España	2007M08	5.654.061
Total Nacional			Viajero	Total	Residentes en España	2007M07	5.003.539
Total Nacional			Viajero	Total	Residentes en España	2007M06	4.658.070
Total Nacional			Viajero	Total	Residentes en España	2007M05	4.015.617
Total Nacional			Viajero	Total	Residentes en España	2007M04	4.450.863
Total Nacional			Viajero	Total	Residentes en España	2007M03	3.769.341
Total Nacional			Viajero	Total	Residentes en España	2007M02	3.088.894
Total Nacional			Viajero	Total	Residentes en España	2007M01	2.604.319
Total Nacional			Viajero	Total	Residentes en España	2006M12	3.125.022
Total Nacional			Viajero	Total	Residentes en España	2006M11	3.254.904
Total Nacional			Viajero	Total	Residentes en España	2006M10	4.146.937
Total Nacional			Viajero	Total	Residentes en España	2006M09	4.563.672
Total Nacional			Viajero	Total	Residentes en España	2006M08	5.553.617
Total Nacional			Viajero	Total	Residentes en España	2006M07	4.941.982
Total Nacional			Viajero	Total	Residentes en España	2006M06	4.371.721
Total Nacional			Viajero	Total	Residentes en España	2006M05	3.947.962
Total Nacional			Viajero	Total	Residentes en España	2006M04	4.390.094
Total Nacional			Viajero	Total	Residentes en España	2006M03	3.553.339
Total Nacional			Viajero	Total	Residentes en España	2006M02	3.043.034
Total Nacional			Viajero	Total	Residentes en España	2006M01	2.551.856
Total Nacional			Viajero	Total	Residentes en España	2005M12	2.702.235
Total Nacional			Viajero	Total	Residentes en España	2005M11	2.898.398
Total Nacional			Viajero	Total	Residentes en España	2005M10	3.628.419
Total Nacional			Viajero	Total	Residentes en España	2005M09	4.038.043
Total Nacional			Viajero	Total	Residentes en España	2005M08	4.985.733
Total Nacional			Viajero	Total	Residentes en España	2005M07	4.366.698
Total Nacional			Viajero	Total	Residentes en España	2005M06	3.865.747
Total Nacional			Viajero	Total	Residentes en España	2005M05	3.646.228
Total Nacional			Viajero	Total	Residentes en España	2005M04	3.316.778
Total Nacional			Viajero	Total	Residentes en España	2005M03	3.391.717
Total Nacional			Viajero	Total	Residentes en España	2005M02	2.621.061
Total Nacional			Viajero	Total	Residentes en España	2005M01	2.139.281
Total Nacional			Viajero	Total	Residentes en España	2004M12	2.654.019
Total Nacional			Viajero	Total	Residentes en España	2004M11	2.670.646
Total Nacional			Viajero	Total	Residentes en España	2004M10	3.563.172
Total Nacional			Viajero	Total	Residentes en España	2004M09	3.866.299
Total Nacional			Viajero	Total	Residentes en España	2004M08	4.762.452
Total Nacional			Viajero	Total	Residentes en España	2004M07	4.051.344
Total Nacional			Viajero	Total	Residentes en España	2004M06	3.650.036
Total Nacional			Viajero	Total	Residentes en España	2004M05	3.232.971
Total Nacional			Viajero	Total	Residentes en España	2004M04	3.310.414
Total Nacional			Viajero	Total	Residentes en España	2004M03	2.886.872
Total Nacional			Viajero	Total	Residentes en España	2004M02	2.548.353
Total Nacional			Viajero	Total	Residentes en España	2004M01	2.014.826
Total Nacional			Viajero	Total	Residentes en España	2003M12	2.381.098
Total Nacional			Viajero	Total	Residentes en España	2003M11	2.478.930
Total Nacional			Viajero	Total	Residentes en España	2003M10	2.961.468
Total Nacional			Viajero	Total	Residentes en España	2003M09	3.508.436
Total Nacional			Viajero	Total	Residentes en España	2003M08	4.321.876
Total Nacional			Viajero	Total	Residentes en España	2003M07	3.604.009
Total Nacional			Viajero	Total	Residentes en España	2003M06	3.268.531
Total Nacional			Viajero	Total	Residentes en España	2003M05	2.987.830
Total Nacional			Viajero	Total	Residentes en España	2003M04	3.096.315
Total Nacional			Viajero	Total	Residentes en España	2003M03	2.621.941
Total Nacional			Viajero	Total	Residentes en España	2003M02	2.185.902
Total Nacional			Viajero	Total	Residentes en España	2003M01	1.866.434
Total Nacional			Viajero	Total	Residentes en España	2002M12	2.239.496
Total Nacional			Viajero	Total	Residentes en España	2002M11	2.363.666
Total Nacional			Viajero	Total	Residentes en España	2002M10	2.841.697
Total Nacional			Viajero	Total	Residentes en España	2002M09	3.206.586
Total Nacional			Viajero	Total	Residentes en España	2002M08	4.093.306
Total Nacional			Viajero	Total	Residentes en España	2002M07	3.326.284
Total Nacional			Viajero	Total	Residentes en España	2002M06	2.909.167
Total Nacional			Viajero	Total	Residentes en España	2002M05	2.800.938
Total Nacional			Viajero	Total	Residentes en España	2002M04	2.626.016
Total Nacional			Viajero	Total	Residentes en España	2002M03	2.863.303
Total Nacional			Viajero	Total	Residentes en España	2002M02	2.163.645
Total Nacional			Viajero	Total	Residentes en España	2002M01	1.824.018
Total Nacional			Viajero	Total	Residentes en España	2001M12	2.104.053
Total Nacional			Viajero	Total	Residentes en España	2001M11	2.336.166
Total Nacional			Viajero	Total	Residentes en España	2001M10	2.859.626
Total Nacional			Viajero	Total	Residentes en España	2001M09	3.223.605
Total Nacional			Viajero	Total	Residentes en España	2001M08	3.917.546
Total Nacional			Viajero	Total	Residentes en España	2001M07	3.244.732
Total Nacional			Viajero	Total	Residentes en España	2001M06	2.946.672
Total Nacional			Viajero	Total	Residentes en España	2001M05	2.664.737
Total Nacional			Viajero	Total	Residentes en España	2001M04	3.020.317
Total Nacional			Viajero	Total	Residentes en España	2001M03	2.519.243
Total Nacional			Viajero	Total	Residentes en España	2001M02	2.179.135
Total Nacional			Viajero	Total	Residentes en España	2001M01	1.876.469
Total Nacional			Viajero	Total	Residentes en España	2000M12	2.176.222
Total Nacional			Viajero	Total	Residentes en España	2000M11	2.283.268
Total Nacional			Viajero	Total	Residentes en España	2000M10	2.798.565
Total Nacional			Viajero	Total	Residentes en España	2000M09	3.188.546
Total Nacional			Viajero	Total	Residentes en España	2000M08	3.805.934
Total Nacional			Viajero	Total	Residentes en España	2000M07	3.187.268
Total Nacional			Viajero	Total	Residentes en España	2000M06	2.853.802
Total Nacional			Viajero	Total	Residentes en España	2000M05	2.656.249
Total Nacional			Viajero	Total	Residentes en España	2000M04	2.941.255
Total Nacional			Viajero	Total	Residentes en España	2000M03	2.405.046
Total Nacional			Viajero	Total	Residentes en España	2000M02	2.098.381
Total Nacional			Viajero	Total	Residentes en España	2000M01	1.738.456
Total Nacional			Viajero	Total	Residentes en España	1999M12	2.130.796
Total Nacional			Viajero	Total	Residentes en España	1999M11	2.132.074
Total Nacional			Viajero	Total	Residentes en España	1999M10	2.844.631
Total Nacional			Viajero	Total	Residentes en España	1999M09	3.220.763
Total Nacional			Viajero	Total	Residentes en España	1999M08	3.753.975
Total Nacional			Viajero	Total	Residentes en España	1999M07	3.300.631
Total Nacional			Viajero	Total	Residentes en España	1999M06	2.829.189
Total Nacional			Viajero	Total	Residentes en España	1999M05	2.708.247
Total Nacional			Viajero	Total	Residentes en España	1999M04	2.738.154
Total Nacional			Viajero	Total	Residentes en España	1999M03	2.462.481
Total Nacional			Viajero	Total	Residentes en España	1999M02	1.971.767
Total Nacional			Viajero	Total	Residentes en España	1999M01	1.696.976
Total Nacional			Viajero	Total	Residentes en el Extranjero	2026M01	3.005.758
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M12	3.159.943
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M11	3.593.686
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M10	6.396.404
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M09	6.965.279
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M08	7.419.417
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M07	7.202.305
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M06	6.816.343
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M05	6.870.352
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M04	5.471.041
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M03	3.900.193
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M02	3.120.066
Total Nacional			Viajero	Total	Residentes en el Extranjero	2025M01	2.857.866
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M12	2.916.057
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M11	3.397.063
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M10	6.233.770
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M09	6.762.248
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M08	7.259.558
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M07	6.935.810
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M06	6.445.432
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M05	6.839.894
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M04	5.205.019
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M03	4.020.556
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M02	3.089.851
Total Nacional			Viajero	Total	Residentes en el Extranjero	2024M01	2.741.530
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M12	2.850.010
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M11	3.212.056
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M10	5.801.286
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M09	6.505.010
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M08	6.884.708
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M07	6.668.004
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M06	6.080.059
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M05	6.026.821
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M04	4.845.523
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M03	3.378.146
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M02	2.629.069
Total Nacional			Viajero	Total	Residentes en el Extranjero	2023M01	2.403.013
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M12	2.487.423
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M11	2.743.589
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M10	5.085.510
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M09	5.872.047
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M08	6.363.409
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M07	6.217.875
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M06	5.567.582
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M05	5.248.435
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M04	3.955.846
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M03	2.628.498
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M02	1.969.784
Total Nacional			Viajero	Total	Residentes en el Extranjero	2022M01	1.428.086
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M12	1.716.964
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M11	2.173.899
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M10	3.541.554
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M09	3.304.007
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M08	3.473.029
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M07	2.771.753
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M06	1.496.439
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M05	824.057
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M04	396.696
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M03	314.013
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M02	204.009
Total Nacional			Viajero	Total	Residentes en el Extranjero	2021M01	235.026
Total Nacional			Viajero	Total	Residentes en el Extranjero	2020M12	320.386
Total Nacional			Viajero	Total	Residentes en el Extranjero	2020M11	259.904
