establecimiento,tipo,categoria,nombre,municipio,web,telefono,wikidata,imagen municipio,poblacion municipio,longitud,latitud
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA 1,Aguilar de Campoo,www.posadasantamarialareal.com,979122000,http://www.wikidata.org/entity/Q398349,https://www.wikidata.org/wiki/Q398349#/media/File:Aguilar_de_Campoo_entrada.jpg,6646,-4.2390083,42.85685559905928
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,"CASA 5 ""TORRE""",Aguilar de Campoo,www.posadasantamarialareal.com,979122000,http://www.wikidata.org/entity/Q398349,https://www.wikidata.org/wiki/Q398349#/media/File:Aguilar_de_Campoo_entrada.jpg,6646,-4.275397,42.76756399905951
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA 3,Aguilar de Campoo,www.posadasantamarialareal.com,979122000,http://www.wikidata.org/entity/Q398349,https://www.wikidata.org/wiki/Q398349#/media/File:Aguilar_de_Campoo_entrada.jpg,6646,-4.2390083,42.85685559905928
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA 4,Aguilar de Campoo,www.posadasantamarialareal.com,979122000,http://www.wikidata.org/entity/Q398349,https://www.wikidata.org/wiki/Q398349#/media/File:Aguilar_de_Campoo_entrada.jpg,6646,-4.2390083,42.85685559905928
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA 2,Aguilar de Campoo,www.posadasantamarialareal.com,979122000,http://www.wikidata.org/entity/Q398349,https://www.wikidata.org/wiki/Q398349#/media/File:Aguilar_de_Campoo_entrada.jpg,6646,-4.275397,42.76756399905951
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,VILLA Y CORTE,Ampudia,www.villaycorte.com,979768632,http://www.wikidata.org/entity/Q1657195,https://www.wikidata.org/wiki/Q1657195#/media/File:Ampudia_-_036_(39300086170).jpg,600,-4.780366100000001,41.91698779906206
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA PAVANA,Ampudia,www.casarurallapavana.com,607357694,http://www.wikidata.org/entity/Q1657195,https://www.wikidata.org/wiki/Q1657195#/media/File:Ampudia_-_036_(39300086170).jpg,600,-4.7812389,41.916285199062045
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,SAN VITORES,"Astudillo, Palencia",www.apatur.org,979822090,http://www.wikidata.org/entity/Q1849424,https://www.wikidata.org/wiki/Q1849424#/media/File:Plaza_mayor1ast.jpg,1031,-4.296059,42.19396299906113
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,CASA EBRO,Berzosilla,,979181323,http://www.wikidata.org/entity/Q1907531,https://www.wikidata.org/wiki/Q1907531#/media/File:Ermitabascones.jpg,40,-4.0112962,42.779891999059465
Alojam. Turismo Rural,Casa Rural,2 Estrellas,JARDÍN MANDALA - LOS OTOÑOS,Brañosera,,657913208,http://www.wikidata.org/entity/Q1923970,"https://www.wikidata.org/wiki/Q1923970#/media/File:Brañosera,_Primer_ayuntamiento_de_España.JPG",252,-4.240591000000001,42.913209999059156
